ISODISTORT
SUITE
HELP
ISODISTORT: modes details
Parent structure (1 P1)
a=5.59234, b=5.59234, c=3.89428, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ   
Pb1  1a     0.00000   0.00000   0.00000   1.00000
Pb2  1a     0.50000   0.50000   0.00000   1.00000
Ti1  1a     0.50000   0.00000   0.50000   1.00000
Ti2  1a     0.00000   0.50000   0.50000   1.00000
O1   1a     0.25000   0.25000   0.50000   1.00000
O2   1a    -0.25000  -0.25000   0.50000   1.00000
O3   1a     0.25000  -0.25000   0.50000   1.00000
O4   1a    -0.25000   0.25000   0.50000   1.00000
O5   1a     0.50000   0.00000   0.00000   1.00000
O6   1a     0.00000   0.50000   0.00000   1.00000

Subgroup details
1 P1, basis={(-16,0,0),(0,-1,0),(0,0,1)}, origin=(2.99212,1.00000,-0.01301), s=16, i=16

Undistorted superstructure 
a=89.47749, b=5.59234, c=3.89428, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
Pb7  1a     0.18701   0.00000   0.01301   1.00000   0.00000  
Pb9  1a     0.24951   0.00000   0.01301   1.00000   0.00000  
Pb11 1a     0.31201   0.00000   0.01301   1.00000   0.00000  
Pb13 1a     0.37451   0.00000   0.01301   1.00000   0.00000  
Pb15 1a     0.43701   0.00000   0.01301   1.00000   0.00000  
Pb2  1a     0.49951   0.00000   0.01301   1.00000   0.00000  
Pb4  1a     0.56201   0.00000   0.01301   1.00000   0.00000  
Pb6  1a     0.62451   0.00000   0.01301   1.00000   0.00000  
Pb8  1a     0.68701   0.00000   0.01301   1.00000   0.00000  
Pb10 1a     0.74951   0.00000   0.01301   1.00000   0.00000  
Pb12 1a     0.81201   0.00000   0.01301   1.00000   0.00000  
Pb14 1a     0.87451   0.00000   0.01301   1.00000   0.00000  
Pb16 1a     0.93701   0.00000   0.01301   1.00000   0.00000  
Pb1  1a    -0.00049   0.00000   0.01301   1.00000   0.00000  
Pb3  1a     0.06201   0.00000   0.01301   1.00000   0.00000  
Pb5  1a     0.12451   0.00000   0.01301   1.00000   0.00000  
Pb21 1a     0.15576   0.50000   0.01301   1.00000   0.00000  
Pb23 1a     0.21826   0.50000   0.01301   1.00000   0.00000  
Pb25 1a     0.28076   0.50000   0.01301   1.00000   0.00000  
Pb27 1a     0.34326   0.50000   0.01301   1.00000   0.00000  
Pb29 1a     0.40576   0.50000   0.01301   1.00000   0.00000  
Pb31 1a     0.46826   0.50000   0.01301   1.00000   0.00000  
Pb18 1a     0.53076   0.50000   0.01301   1.00000   0.00000  
Pb20 1a     0.59326   0.50000   0.01301   1.00000   0.00000  
Pb22 1a     0.65576   0.50000   0.01301   1.00000   0.00000  
Pb24 1a     0.71826   0.50000   0.01301   1.00000   0.00000  
Pb26 1a     0.78076   0.50000   0.01301   1.00000   0.00000  
Pb28 1a     0.84326   0.50000   0.01301   1.00000   0.00000  
Pb30 1a     0.90576   0.50000   0.01301   1.00000   0.00000  
Pb32 1a     0.96826   0.50000   0.01301   1.00000   0.00000  
Pb17 1a     0.03076   0.50000   0.01301   1.00000   0.00000  
Pb19 1a     0.09326   0.50000   0.01301   1.00000   0.00000  
Ti5  1a     0.15576   0.00000   0.51301   1.00000   0.00000  
Ti7  1a     0.21826   0.00000   0.51301   1.00000   0.00000  
Ti9  1a     0.28076   0.00000   0.51301   1.00000   0.00000  
Ti11 1a     0.34326   0.00000   0.51301   1.00000   0.00000  
Ti13 1a     0.40576   0.00000   0.51301   1.00000   0.00000  
Ti15 1a     0.46826   0.00000   0.51301   1.00000   0.00000  
Ti2  1a     0.53076   0.00000   0.51301   1.00000   0.00000  
Ti4  1a     0.59326   0.00000   0.51301   1.00000   0.00000  
Ti6  1a     0.65576   0.00000   0.51301   1.00000   0.00000  
Ti8  1a     0.71826   0.00000   0.51301   1.00000   0.00000  
Ti10 1a     0.78076   0.00000   0.51301   1.00000   0.00000  
Ti12 1a     0.84326   0.00000   0.51301   1.00000   0.00000  
Ti14 1a     0.90576   0.00000   0.51301   1.00000   0.00000  
Ti16 1a     0.96826   0.00000   0.51301   1.00000   0.00000  
Ti1  1a     0.03076   0.00000   0.51301   1.00000   0.00000  
Ti3  1a     0.09326   0.00000   0.51301   1.00000   0.00000  
Ti21 1a     0.18701   0.50000   0.51301   1.00000   0.00000  
Ti23 1a     0.24951   0.50000   0.51301   1.00000   0.00000  
Ti25 1a     0.31201   0.50000   0.51301   1.00000   0.00000  
Ti27 1a     0.37451   0.50000   0.51301   1.00000   0.00000  
Ti29 1a     0.43701   0.50000   0.51301   1.00000   0.00000  
Ti31 1a     0.49951   0.50000   0.51301   1.00000   0.00000  
Ti18 1a     0.56201   0.50000   0.51301   1.00000   0.00000  
Ti20 1a     0.62451   0.50000   0.51301   1.00000   0.00000  
Ti22 1a     0.68701   0.50000   0.51301   1.00000   0.00000  
Ti24 1a     0.74951   0.50000   0.51301   1.00000   0.00000  
Ti26 1a     0.81201   0.50000   0.51301   1.00000   0.00000  
Ti28 1a     0.87451   0.50000   0.51301   1.00000   0.00000  
Ti30 1a     0.93701   0.50000   0.51301   1.00000   0.00000  
Ti32 1a    -0.00049   0.50000   0.51301   1.00000   0.00000  
Ti17 1a     0.06201   0.50000   0.51301   1.00000   0.00000  
Ti19 1a     0.12451   0.50000   0.51301   1.00000   0.00000  
O54  1a     0.17138   0.75000   0.51301   1.00000   0.00000  
O56  1a     0.23388   0.75000   0.51301   1.00000   0.00000  
O58  1a     0.29638   0.75000   0.51301   1.00000   0.00000  
O60  1a     0.35888   0.75000   0.51301   1.00000   0.00000  
O62  1a     0.42138   0.75000   0.51301   1.00000   0.00000  
O64  1a     0.48388   0.75000   0.51301   1.00000   0.00000  
O34  1a     0.54638   0.75000   0.51301   1.00000   0.00000  
O36  1a     0.60888   0.75000   0.51301   1.00000   0.00000  
O38  1a     0.67138   0.75000   0.51301   1.00000   0.00000  
O40  1a     0.73388   0.75000   0.51301   1.00000   0.00000  
O42  1a     0.79638   0.75000   0.51301   1.00000   0.00000  
O44  1a     0.85888   0.75000   0.51301   1.00000   0.00000  
O46  1a     0.92138   0.75000   0.51301   1.00000   0.00000  
O48  1a     0.98388   0.75000   0.51301   1.00000   0.00000  
O50  1a     0.04638   0.75000   0.51301   1.00000   0.00000  
O52  1a     0.10888   0.75000   0.51301   1.00000   0.00000  
O24  1a     0.20263   0.25000   0.51301   1.00000   0.00000  
O26  1a     0.26513   0.25000   0.51301   1.00000   0.00000  
O28  1a     0.32763   0.25000   0.51301   1.00000   0.00000  
O30  1a     0.39013   0.25000   0.51301   1.00000   0.00000  
O32  1a     0.45263   0.25000   0.51301   1.00000   0.00000  
O2   1a     0.51513   0.25000   0.51301   1.00000   0.00000  
O4   1a     0.57763   0.25000   0.51301   1.00000   0.00000  
O6   1a     0.64013   0.25000   0.51301   1.00000   0.00000  
O8   1a     0.70263   0.25000   0.51301   1.00000   0.00000  
O10  1a     0.76513   0.25000   0.51301   1.00000   0.00000  
O12  1a     0.82763   0.25000   0.51301   1.00000   0.00000  
O14  1a     0.89013   0.25000   0.51301   1.00000   0.00000  
O16  1a     0.95263   0.25000   0.51301   1.00000   0.00000  
O18  1a     0.01513   0.25000   0.51301   1.00000   0.00000  
O20  1a     0.07763   0.25000   0.51301   1.00000   0.00000  
O22  1a     0.14013   0.25000   0.51301   1.00000   0.00000  
O37  1a     0.17138   0.25000   0.51301   1.00000   0.00000  
O39  1a     0.23388   0.25000   0.51301   1.00000   0.00000  
O41  1a     0.29638   0.25000   0.51301   1.00000   0.00000  
O43  1a     0.35888   0.25000   0.51301   1.00000   0.00000  
O45  1a     0.42138   0.25000   0.51301   1.00000   0.00000  
O47  1a     0.48388   0.25000   0.51301   1.00000   0.00000  
O49  1a     0.54638   0.25000   0.51301   1.00000   0.00000  
O51  1a     0.60888   0.25000   0.51301   1.00000   0.00000  
O53  1a     0.67138   0.25000   0.51301   1.00000   0.00000  
O55  1a     0.73388   0.25000   0.51301   1.00000   0.00000  
O57  1a     0.79638   0.25000   0.51301   1.00000   0.00000  
O59  1a     0.85888   0.25000   0.51301   1.00000   0.00000  
O61  1a     0.92138   0.25000   0.51301   1.00000   0.00000  
O63  1a     0.98388   0.25000   0.51301   1.00000   0.00000  
O33  1a     0.04638   0.25000   0.51301   1.00000   0.00000  
O35  1a     0.10888   0.25000   0.51301   1.00000   0.00000  
O7   1a     0.20263   0.75000   0.51301   1.00000   0.00000  
O9   1a     0.26513   0.75000   0.51301   1.00000   0.00000  
O11  1a     0.32763   0.75000   0.51301   1.00000   0.00000  
O13  1a     0.39013   0.75000   0.51301   1.00000   0.00000  
O15  1a     0.45263   0.75000   0.51301   1.00000   0.00000  
O17  1a     0.51513   0.75000   0.51301   1.00000   0.00000  
O19  1a     0.57763   0.75000   0.51301   1.00000   0.00000  
O21  1a     0.64013   0.75000   0.51301   1.00000   0.00000  
O23  1a     0.70263   0.75000   0.51301   1.00000   0.00000  
O25  1a     0.76513   0.75000   0.51301   1.00000   0.00000  
O27  1a     0.82763   0.75000   0.51301   1.00000   0.00000  
O29  1a     0.89013   0.75000   0.51301   1.00000   0.00000  
O31  1a     0.95263   0.75000   0.51301   1.00000   0.00000  
O1   1a     0.01513   0.75000   0.51301   1.00000   0.00000  
O3   1a     0.07763   0.75000   0.51301   1.00000   0.00000  
O5   1a     0.14013   0.75000   0.51301   1.00000   0.00000  
O69  1a     0.15576   0.00000   0.01301   1.00000   0.00000  
O71  1a     0.21826   0.00000   0.01301   1.00000   0.00000  
O73  1a     0.28076   0.00000   0.01301   1.00000   0.00000  
O75  1a     0.34326   0.00000   0.01301   1.00000   0.00000  
O77  1a     0.40576   0.00000   0.01301   1.00000   0.00000  
O79  1a     0.46826   0.00000   0.01301   1.00000   0.00000  
O66  1a     0.53076   0.00000   0.01301   1.00000   0.00000  
O68  1a     0.59326   0.00000   0.01301   1.00000   0.00000  
O70  1a     0.65576   0.00000   0.01301   1.00000   0.00000  
O72  1a     0.71826   0.00000   0.01301   1.00000   0.00000  
O74  1a     0.78076   0.00000   0.01301   1.00000   0.00000  
O76  1a     0.84326   0.00000   0.01301   1.00000   0.00000  
O78  1a     0.90576   0.00000   0.01301   1.00000   0.00000  
O80  1a     0.96826   0.00000   0.01301   1.00000   0.00000  
O65  1a     0.03076   0.00000   0.01301   1.00000   0.00000  
O67  1a     0.09326   0.00000   0.01301   1.00000   0.00000  
O85  1a     0.18701   0.50000   0.01301   1.00000   0.00000  
O87  1a     0.24951   0.50000   0.01301   1.00000   0.00000  
O89  1a     0.31201   0.50000   0.01301   1.00000   0.00000  
O91  1a     0.37451   0.50000   0.01301   1.00000   0.00000  
O93  1a     0.43701   0.50000   0.01301   1.00000   0.00000  
O95  1a     0.49951   0.50000   0.01301   1.00000   0.00000  
O82  1a     0.56201   0.50000   0.01301   1.00000   0.00000  
O84  1a     0.62451   0.50000   0.01301   1.00000   0.00000  
O86  1a     0.68701   0.50000   0.01301   1.00000   0.00000  
O88  1a     0.74951   0.50000   0.01301   1.00000   0.00000  
O90  1a     0.81201   0.50000   0.01301   1.00000   0.00000  
O92  1a     0.87451   0.50000   0.01301   1.00000   0.00000  
O94  1a     0.93701   0.50000   0.01301   1.00000   0.00000  
O96  1a    -0.00049   0.50000   0.01301   1.00000   0.00000  
O81  1a     0.06201   0.50000   0.01301   1.00000   0.00000  
O83  1a     0.12451   0.50000   0.01301   1.00000   0.00000  

Distorted superstructure 
a=89.47749, b=5.59234, c=3.91655, alpha=90.00000, beta=90.00000, gamma=90.00000
atom site    x         y         z         occ      displ  
Pb7  1a     0.18703  -0.00372   0.01301   1.00000   0.02087  
Pb9  1a     0.24959   0.03960   0.01301   1.00000   0.22157  
Pb11 1a     0.31213   0.08224   0.01301   1.00000   0.46007  
Pb13 1a     0.37460   0.13105   0.01301   1.00000   0.73293  
Pb15 1a     0.43694   0.17104   0.01301   1.00000   0.95654  
Pb2  1a     0.49938   0.13329   0.01301   1.00000   0.74548  
Pb4  1a     0.56192   0.09093   0.01301   1.00000   0.50860  
Pb6  1a     0.62447   0.04767   0.01301   1.00000   0.26659  
Pb8  1a     0.68703   0.00372   0.01301   1.00000   0.02087  
Pb10 1a     0.74959  -0.03960   0.01301   1.00000   0.22157  
Pb12 1a     0.81213  -0.08224   0.01301   1.00000   0.46007  
Pb14 1a     0.87460  -0.13105   0.01301   1.00000   0.73293  
Pb16 1a     0.93694  -0.17104   0.01301   1.00000   0.95654  
Pb1  1a    -0.00062  -0.13329   0.01301   1.00000   0.74548  
Pb3  1a     0.06192  -0.09093   0.01301   1.00000   0.50860  
Pb5  1a     0.12447  -0.04767   0.01301   1.00000   0.26659  
Pb21 1a     0.15576   0.47428   0.01301   1.00000   0.14381  
